#: table_doi: 10.17182/hepdata.155340.v1/t1
#: name: Table III: Cross section in energy range 0.62-1.05 GeV
#: description: Energy bin range ($\sqrt{s'}$), number of events after unfolding ($N_{\mathrm{unf}}$), corrected efficiency ($\varepsilon$), and cross section ($\sigma_{3\pi}$) for $e^{+}e^{-} \to \pi^{+} \pi^{-} \pi^{0}$ in energy range 0.62--1.05~GeV. The two uncertainties in the cross section are the statistical and systematic contributions. The statistical uncertainties for the unfolding and cross section are square roots of the diagonal components of the unfolding covariance matrix. The image shows Figure 23 in the PRD paper, and the points with error bars indicate the cross section in the table.
#: data_file: table_iii:_cross_section_in_energy_range_0.62-1.05_gev.yaml
#: keyword reactions: E+E- --> PI+ PI- PI0
#: keyword phrases: Exclusive | Cross section | E+ E- Scattering
#: keyword cmenergies: 0.62-1.05
#: keyword observables: SIG
$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,The number of events after unfolding ($N_{\mathrm{unf}}$),Statistical uncertainty +,Statistical uncertainty -
0.85375,0.8525,0.855,8.21,0.13,-0.13
0.85625,0.855,0.8575,8.21,0.13,-0.13
0.85875,0.8575,0.86,8.2,0.13,-0.13
0.8612500000000001,0.86,0.8625,8.2,0.13,-0.13
0.86375,0.8625,0.865,8.2,0.13,-0.13
0.86625,0.865,0.8675,8.19,0.13,-0.13
0.86875,0.8675,0.87,8.19,0.13,-0.13
0.8712500000000001,0.87,0.8725,8.18,0.13,-0.13
0.87375,0.8725,0.875,8.18,0.13,-0.13
0.87625,0.875,0.8775,8.17,0.13,-0.13
0.8787499999999999,0.8775,0.88,8.17,0.13,-0.13
0.88125,0.88,0.8825,8.16,0.13,-0.13
0.88375,0.8825,0.885,8.16,0.13,-0.13
0.88625,0.885,0.8875,8.15,0.13,-0.13
0.8887499999999999,0.8875,0.89,8.15,0.13,-0.13
0.89125,0.89,0.8925,8.14,0.13,-0.13
0.89375,0.8925,0.895,8.14,0.13,-0.13
0.89625,0.895,0.8975,8.14,0.13,-0.13
0.8987499999999999,0.8975,0.9,8.13,0.13,-0.13
0.90125,0.9,0.9025,8.13,0.13,-0.13
0.90375,0.9025,0.905,8.12,0.13,-0.13
0.90625,0.905,0.9075,8.12,0.13,-0.13
0.90875,0.9075,0.91,8.11,0.13,-0.13
0.91125,0.91,0.9125,8.11,0.13,-0.13
0.9137500000000001,0.9125,0.915,8.1,0.13,-0.13
0.91625,0.915,0.9175,8.1,0.13,-0.13
0.91875,0.9175,0.92,8.1,0.13,-0.13
0.92125,0.92,0.9225,8.09,0.13,-0.13
0.9237500000000001,0.9225,0.925,8.09,0.13,-0.13
0.92625,0.925,0.9275,8.08,0.13,-0.13
0.92875,0.9275,0.93,8.08,0.13,-0.13
0.93125,0.93,0.9325,8.07,0.13,-0.13
0.9337500000000001,0.9325,0.935,8.07,0.13,-0.13
0.93625,0.935,0.9375,8.06,0.13,-0.13
0.93875,0.9375,0.94,8.06,0.13,-0.13
0.9412499999999999,0.94,0.9425,8.06,0.13,-0.13
0.94375,0.9425,0.945,8.05,0.13,-0.13
0.94625,0.945,0.9475,8.05,0.13,-0.13
0.94875,0.9475,0.95,8.04,0.13,-0.13
0.9512499999999999,0.95,0.9525,8.04,0.13,-0.13
0.95375,0.9525,0.955,8.03,0.13,-0.13
0.95625,0.955,0.9575,8.03,0.13,-0.13
0.95875,0.9575,0.96,8.03,0.13,-0.13
0.9612499999999999,0.96,0.9625,8.02,0.13,-0.13
0.96375,0.9625,0.965,8.02,0.13,-0.13
0.96625,0.965,0.9675,8.01,0.13,-0.13
0.96875,0.9675,0.97,8.01,0.13,-0.13
0.97125,0.97,0.9725,8.0,0.13,-0.13
0.97375,0.9725,0.975,8.0,0.13,-0.13
0.9762500000000001,0.975,0.9775,8.0,0.13,-0.13
0.97875,0.9775,0.98,7.99,0.13,-0.13
0.98125,0.98,0.9825,7.99,0.13,-0.13
0.98375,0.9825,0.985,7.98,0.13,-0.13
0.9862500000000001,0.985,0.9875,7.98,0.13,-0.13
0.98875,0.9875,0.99,7.98,0.13,-0.13
0.99125,0.99,0.9925,7.97,0.13,-0.13
0.99375,0.9925,0.995,7.97,0.13,-0.13
0.9962500000000001,0.995,0.9975,7.96,0.13,-0.13
0.99875,0.9975,1.0,7.96,0.13,-0.13
1.00125,1.0,1.0025,7.95,0.13,-0.13
1.00375,1.0025,1.005,7.95,0.13,-0.13
1.00625,1.005,1.0075,7.95,0.13,-0.13
1.00875,1.0075,1.01,7.94,0.13,-0.13
1.01125,1.01,1.0125,7.94,0.13,-0.13
1.01375,1.0125,1.015,7.93,0.13,-0.13
1.0162499999999999,1.015,1.0175,7.93,0.13,-0.13
1.01875,1.0175,1.02,7.93,0.13,-0.13
1.02125,1.02,1.0225,7.92,0.13,-0.13
1.02375,1.0225,1.025,7.92,0.13,-0.13
1.02625,1.025,1.0275,7.91,0.13,-0.13
1.02875,1.0275,1.03,7.91,0.13,-0.13
1.03125,1.03,1.0325,7.91,0.13,-0.13
1.03375,1.0325,1.035,7.9,0.13,-0.13
1.03625,1.035,1.0375,7.9,0.13,-0.13
1.03875,1.0375,1.04,7.89,0.13,-0.13
1.04125,1.04,1.0425,7.89,0.13,-0.13
1.04375,1.0425,1.045,7.89,0.13,-0.13
1.0462500000000001,1.045,1.0475,7.88,0.13,-0.13
1.04875,1.0475,1.05,7.88,0.13,-0.13

$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,Dressed cross section ($\sigma_{3\pi}$) [nb],Statistical uncertainty +,Statistical uncertainty -,Systematic uncertainty +,Systematic uncertainty -
0.63,0.62,0.64,0.07,0.13,-0.13,0.02,-0.02
0.65,0.64,0.66,0.21,0.17,-0.17,0.02,-0.02
0.67,0.66,0.68,0.63,0.22,-0.22,0.03,-0.03
0.69,0.68,0.7,1.08,0.31,-0.31,0.05,-0.05
0.7012499999999999,0.7,0.7025,-2.06,1.82,-1.82,1.82,-1.82
0.70375,0.7025,0.705,1.04,0.77,-0.77,0.52,-0.52
0.70625,0.705,0.7075,1.91,0.75,-0.75,0.36,-0.36
0.70875,0.7075,0.71,3.54,1.4,-1.4,0.89,-0.89
0.7112499999999999,0.71,0.7125,2.84,1.3,-1.3,0.55,-0.55
0.71375,0.7125,0.715,3.01,1.8,-1.8,0.51,-0.51
0.71625,0.715,0.7175,10.36,2.43,-2.43,1.24,-1.24
0.71875,0.7175,0.72,2.84,0.92,-0.92,0.52,-0.52
0.72125,0.72,0.7225,2.76,0.98,-0.98,0.5,-0.5
0.72375,0.7225,0.725,3.43,0.79,-0.79,0.78,-0.78
0.7262500000000001,0.725,0.7275,4.34,1.23,-1.23,0.69,-0.69
0.72875,0.7275,0.73,4.45,1.09,-1.09,0.69,-0.69
0.73125,0.73,0.7325,5.78,1.58,-1.58,0.49,-0.49
0.73375,0.7325,0.735,12.43,2.56,-2.56,1.0,-1.0
0.7362500000000001,0.735,0.7375,15.79,3.0,-3.0,1.94,-1.94
0.73875,0.7375,0.74,12.39,3.17,-3.17,3.17,-3.17
0.74125,0.74,0.7425,10.5,2.88,-2.88,0.72,-0.72
